ID_CLIENT,CIBLE,TYPE_CONTRAT,GENRE,PROPRIETAIRE_VOITURE,PROPRIETAIRE_BIEN_IMMO,NBR_ENFANTS,REVENU_TOTAL,MONTANT_CREDIT,MONTANT_ANNUITE,MONTANT_BIENS,TYPE_REVENUS,NIVEAU_EDUCATION,STATUT_FAMILIAL,TYPE_LOGEMENT,JOURS_ENREGISTREMENT,JOURS_ID_PUBLICATION,FLAG_MOBILE,FLAG_TELEPHONE_PRO,FLAG_TELEPHONE_TRAVAIL,FLAG_TELEPHONE,FLAG_EMAIL,NBR_MEMBRES_FAMILLE,SOURCE_EXTERNE_2,JOURS_DERNIER_CHANGEMENT_TEL,TYPE_ENTREPRISE,HEURE_DEMANDE,JOUR_DEMANDE,DEMANDES_CREDIT,ACCOMPAGNANT_DEMANDE,AGE,ANNEES_EMPLOI,SCORE_CONTACT,RATIO_ENFANTS_FAMILLE,DUREE_CREDIT_MOIS,DELAI_TRAITEMENT_DOSSIER,TRAITEMENT_DOSSIER_GROUPE,TRAITEMENT_DOSSIER_SIMPLIFIE,EMPLOI_TYPE
244779,0,Cash loans,F,N,Y,1,225000.0,265851.0,15390.0,229500.0,Working,Higher education,Single / not married,House / apartment,-4354.0,-4516,1,1,0,0,0,2.0,0.6823864234679871,-852.0,University,7,THURSDAY,6.0,Unaccompanied,35.1,10,1,0.5,17.0,162.0,120j+,Long,Expérience Moyenne
273964,0,Cash loans,F,N,Y,0,157500.0,697500.0,27157.5,697500.0,Working,Secondary / secondary special,Married,House / apartment,-1952.0,-4038,1,1,1,1,0,2.0,0.6546658493825528,-1437.0,Trade: type 6,12,MONDAY,1.0,Unaccompanied,40.6,2,3,0.0,26.0,2086.0,120j+,Long,Expérience Faible
163315,0,Cash loans,M,N,Y,0,112500.0,521280.0,28278.0,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-2925.0,-2982,1,0,0,0,0,2.0,0.7376006705969038,-2056.0,XNA,10,THURSDAY,4.0,Unaccompanied,64.7,0,0,0.0,18.0,57.0,30-60j,Standard,Retraité
208161,0,Cash loans,M,Y,N,2,157500.0,1078200.0,34911.0,900000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1820.0,-4036,1,1,0,0,0,4.0,0.3902280894219264,-1308.0,Business Entity Type 3,13,MONDAY,1.0,Unaccompanied,43.4,5,1,0.5,31.0,2216.0,120j+,Long,Expérience Moyenne
244091,0,Cash loans,F,N,Y,1,315000.0,593010.0,17469.0,495000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-2768.0,-5523,1,1,0,0,0,3.0,0.7062651142294162,0.0,Postal,10,FRIDAY,1.0,Unaccompanied,37.2,7,1,0.3333333333333333,34.0,2755.0,120j+,Long,Expérience Moyenne
171005,0,Cash loans,M,Y,Y,0,135000.0,175896.0,9108.0,126000.0,Commercial associate,Higher education,Married,House / apartment,-2670.0,-4426,1,1,0,0,0,2.0,0.0369438897056225,-21.0,School,8,FRIDAY,1.0,Unaccompanied,42.1,2,1,0.0,19.0,1756.0,120j+,Long,Expérience Faible
120851,0,Cash loans,F,N,N,0,112500.0,351792.0,15034.5,252000.0,Working,Secondary / secondary special,Widow,House / apartment,-18.0,-1208,1,1,0,0,1,1.0,0.5024674334171549,0.0,Business Entity Type 3,8,SATURDAY,4.0,Unaccompanied,48.9,4,2,0.0,23.0,1190.0,120j+,Long,Expérience Faible
404224,0,Cash loans,M,N,Y,0,72000.0,270000.0,13914.0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-852.0,-4284,1,0,0,0,0,1.0,0.3373486086843355,0.0,XNA,8,WEDNESDAY,1.0,Family,60.6,0,0,0.0,19.0,3432.0,120j+,Long,Retraité
197274,0,Cash loans,F,N,Y,0,135000.0,71955.0,7749.0,67500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1623.0,-3359,1,1,0,0,0,2.0,0.5715929887355815,-2246.0,Self-employed,8,MONDAY,2.0,Unaccompanied,37.0,1,1,0.0,9.0,1736.0,120j+,Long,Expérience Faible
375398,0,Cash loans,F,N,Y,0,76500.0,585000.0,18868.5,585000.0,State servant,Higher education,Married,House / apartment,-466.0,-1554,1,1,0,1,0,2.0,0.3817443763543905,-2645.0,Security Ministries,10,MONDAY,2.0,Unaccompanied,32.8,10,2,0.0,31.0,1088.0,120j+,Long,Expérience Moyenne
132347,0,Cash loans,M,Y,Y,0,112500.0,267102.0,31828.5,247500.0,Working,Secondary / secondary special,Married,Municipal apartment,-565.0,-1705,1,1,0,0,0,2.0,0.6661653120232807,-2018.0,Business Entity Type 3,8,TUESDAY,4.0,Unaccompanied,49.8,0,1,0.0,8.0,1140.0,120j+,Long,Sans emploi
349382,0,Cash loans,M,Y,Y,2,157500.0,454500.0,21996.0,454500.0,Working,Secondary / secondary special,Married,House / apartment,-969.0,-4296,1,1,0,0,0,4.0,0.4124694230282016,-1791.0,Agriculture,7,SATURDAY,1.0,Unaccompanied,37.1,10,1,0.5,21.0,3327.0,120j+,Long,Expérience Moyenne
381161,0,Cash loans,F,N,Y,0,146250.0,625536.0,26631.0,540000.0,Working,Secondary / secondary special,Married,With parents,-2448.0,-2543,1,1,0,0,0,2.0,0.3565391372715336,-252.0,Other,6,THURSDAY,4.0,Unaccompanied,52.1,31,1,0.0,23.0,95.0,60-120j,Long,Expérience Longue
232812,0,Cash loans,M,Y,N,0,225000.0,545040.0,25537.5,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-794.0,-1393,1,1,0,0,0,1.0,0.5274672212100038,-745.0,Business Entity Type 3,16,SATURDAY,2.0,Unaccompanied,24.0,5,1,0.0,21.0,599.0,120j+,Long,Expérience Moyenne
309768,0,Cash loans,F,Y,Y,1,99000.0,568197.0,30820.5,490500.0,Working,Secondary / secondary special,Married,House / apartment,-2381.0,-5117,1,1,0,0,1,3.0,0.4919553074998354,-916.0,Self-employed,8,FRIDAY,2.0,Family,39.3,3,2,0.3333333333333333,18.0,2736.0,120j+,Long,Expérience Faible
205644,0,Revolving loans,M,Y,Y,1,450000.0,1237500.0,61875.0,1237500.0,Commercial associate,Higher education,Married,House / apartment,-1495.0,-1495,1,1,0,0,0,3.0,0.6878116500771857,-128.0,Business Entity Type 1,7,TUESDAY,1.0,Unaccompanied,49.2,9,1,0.3333333333333333,20.0,0.0,<15j,Court,Expérience Moyenne
395057,0,Cash loans,M,N,N,0,270000.0,513531.0,26347.5,459000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-754.0,-1873,1,1,0,0,0,1.0,0.6742032101473874,-3245.0,Business Entity Type 3,16,WEDNESDAY,5.0,Unaccompanied,51.5,4,1,0.0,19.0,1119.0,120j+,Long,Expérience Faible
290666,0,Cash loans,F,N,N,0,337500.0,450000.0,36211.5,450000.0,Working,Higher education,Single / not married,House / apartment,-1286.0,-1879,1,1,1,1,0,1.0,0.4730816072242109,-395.0,Security Ministries,10,SATURDAY,1.0,Unaccompanied,50.2,12,3,0.0,12.0,593.0,120j+,Long,Expérience Moyenne
283081,0,Cash loans,F,N,Y,1,202500.0,286704.0,23116.5,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2097.0,-2955,1,1,0,0,0,3.0,0.5749257345273101,-558.0,Self-employed,11,SATURDAY,3.0,Unaccompanied,29.1,3,1,0.3333333333333333,12.0,858.0,120j+,Long,Expérience Faible
165228,1,Cash loans,F,Y,Y,1,234000.0,592560.0,35937.0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1421.0,-2252,1,1,0,0,0,3.0,0.5987897270104809,0.0,Kindergarten,15,MONDAY,0.0,Unaccompanied,29.6,2,1,0.3333333333333333,16.0,831.0,120j+,Long,Expérience Faible
274623,0,Cash loans,F,N,Y,0,153000.0,448299.0,24318.0,387000.0,Working,Secondary / secondary special,Widow,House / apartment,-144.0,-4702,1,1,1,0,0,1.0,0.6022153593818508,-1892.0,Business Entity Type 3,10,THURSDAY,1.0,Unaccompanied,35.1,6,2,0.0,18.0,4558.0,120j+,Long,Expérience Moyenne
136864,0,Cash loans,M,Y,N,1,482850.0,900000.0,25794.0,900000.0,Commercial associate,Higher education,Married,House / apartment,-353.0,-3972,1,1,1,1,0,3.0,0.5233558525632022,-64.0,Self-employed,10,WEDNESDAY,0.0,Unaccompanied,31.4,10,3,0.3333333333333333,35.0,3619.0,120j+,Long,Expérience Moyenne
116697,0,Cash loans,F,N,Y,0,67500.0,284400.0,16456.5,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-1762.0,-3964,1,0,0,0,0,1.0,0.2622583692422573,-212.0,XNA,8,SATURDAY,1.0,Family,66.5,0,0,0.0,17.0,2202.0,120j+,Long,Retraité
338685,0,Cash loans,F,N,N,2,112500.0,270000.0,21775.5,270000.0,Working,Secondary / secondary special,Married,House / apartment,-3004.0,-4062,1,1,1,0,0,4.0,0.2572088573199391,-2337.0,Business Entity Type 2,6,WEDNESDAY,4.0,Unaccompanied,37.3,8,2,0.5,12.0,1058.0,120j+,Long,Expérience Moyenne
324212,1,Cash loans,F,N,Y,0,76500.0,808650.0,23773.5,675000.0,Working,Secondary / secondary special,Married,House / apartment,-48.0,-1443,1,1,0,0,0,2.0,0.7140784166622123,-124.0,Business Entity Type 3,13,TUESDAY,2.0,Unaccompanied,49.0,1,1,0.0,34.0,1395.0,120j+,Long,Expérience Faible
318204,1,Cash loans,F,N,Y,0,121500.0,689742.0,29223.0,616500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-3535.0,-4017,1,0,0,0,0,2.0,0.2303842660009573,-982.0,XNA,9,MONDAY,1.0,Unaccompanied,56.4,0,0,0.0,24.0,482.0,120j+,Long,Retraité
376560,0,Cash loans,M,N,Y,3,157500.0,178038.0,13977.0,162000.0,Working,Secondary / secondary special,Married,House / apartment,-2348.0,-4795,1,1,0,0,0,5.0,0.0623015871188214,-1129.0,Self-employed,14,FRIDAY,1.0,Family,40.9,5,1,0.6,13.0,2447.0,120j+,Long,Expérience Moyenne
371051,0,Cash loans,F,N,Y,0,193500.0,1236816.0,36292.5,1080000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-1117.0,-4127,1,0,0,0,0,2.0,0.6121663891165097,-1856.0,XNA,18,TUESDAY,3.0,Unaccompanied,57.7,0,0,0.0,34.0,3010.0,120j+,Long,Retraité
313301,0,Cash loans,M,N,N,1,162000.0,1113840.0,57001.5,900000.0,Working,Incomplete higher,Married,House / apartment,-3014.0,-3150,1,1,0,0,0,3.0,0.6232732454463407,-1560.0,Self-employed,13,TUESDAY,2.0,Unaccompanied,42.9,4,1,0.3333333333333333,20.0,136.0,120j+,Long,Expérience Faible
379619,0,Cash loans,M,N,Y,0,225000.0,1041219.0,50220.0,855000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-642.0,-3620,1,1,0,0,1,2.0,0.1460381765862298,-61.0,Construction,18,TUESDAY,1.0,Unaccompanied,30.0,4,2,0.0,21.0,2978.0,120j+,Long,Expérience Faible
324915,0,Cash loans,F,N,N,2,135000.0,754740.0,22198.5,630000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1471.0,-4461,1,1,0,1,0,4.0,0.6572911920664802,-2839.0,Business Entity Type 3,9,FRIDAY,1.0,Unaccompanied,37.2,7,2,0.5,34.0,2990.0,120j+,Long,Expérience Moyenne
262199,1,Cash loans,F,N,N,0,135000.0,1035832.5,30415.5,904500.0,Working,Secondary / secondary special,Married,House / apartment,-1706.0,-3980,1,1,1,1,0,2.0,0.3274738624766193,-374.0,Self-employed,11,WEDNESDAY,0.0,"Spouse, partner",44.1,5,3,0.0,34.0,2274.0,120j+,Long,Expérience Moyenne
411897,0,Cash loans,M,Y,Y,1,270000.0,733500.0,31207.5,733500.0,Working,Secondary / secondary special,Married,House / apartment,-700.0,-5626,1,1,0,0,0,3.0,0.6026343582341862,-621.0,Transport: type 4,16,TUESDAY,0.0,Unaccompanied,40.5,14,1,0.3333333333333333,24.0,4926.0,120j+,Long,Expérience Moyenne
115391,0,Cash loans,F,N,Y,1,157500.0,601470.0,30838.5,450000.0,Working,Secondary / secondary special,Married,House / apartment,-2267.0,-3947,1,1,0,0,0,3.0,0.6307193532092593,-1707.0,Business Entity Type 3,7,SUNDAY,7.0,"Spouse, partner",41.9,2,1,0.3333333333333333,20.0,1680.0,120j+,Long,Expérience Faible
160022,0,Cash loans,M,Y,Y,0,270000.0,913500.0,32940.0,913500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-4524.0,-4755,1,1,0,0,0,2.0,0.6700202528386803,0.0,Business Entity Type 3,11,SUNDAY,2.0,Unaccompanied,59.8,9,1,0.0,28.0,231.0,120j+,Long,Expérience Moyenne
301317,1,Cash loans,F,N,Y,0,247500.0,754740.0,29245.5,630000.0,Working,Secondary / secondary special,Married,With parents,-1091.0,-2283,1,1,1,0,0,2.0,0.014521689751556,-176.0,Industry: type 3,12,TUESDAY,0.0,Unaccompanied,26.3,4,2,0.0,26.0,1192.0,120j+,Long,Expérience Faible
104519,0,Cash loans,F,N,Y,0,225000.0,90000.0,5634.0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-2305.0,-4203,1,0,0,1,0,1.0,0.6000289139763209,0.0,XNA,11,MONDAY,2.0,Unaccompanied,65.0,0,1,0.0,16.0,1898.0,120j+,Long,Retraité
311497,0,Cash loans,F,N,N,0,130500.0,545040.0,19575.0,450000.0,State servant,Secondary / secondary special,Married,Municipal apartment,-2633.0,-4243,1,1,0,1,0,2.0,0.2776667317418485,-1545.0,Other,16,MONDAY,0.0,Family,39.0,5,2,0.0,28.0,1610.0,120j+,Long,Expérience Moyenne
314042,0,Cash loans,M,Y,N,0,450000.0,675000.0,69295.5,675000.0,Working,Higher education,Married,House / apartment,-3774.0,-3782,1,1,1,0,0,2.0,0.2420085698264724,-716.0,Business Entity Type 3,15,TUESDAY,1.0,Unaccompanied,44.7,3,2,0.0,10.0,8.0,<15j,Court,Expérience Faible
178820,0,Cash loans,F,N,N,0,112500.0,808650.0,23175.0,675000.0,Working,Secondary / secondary special,Separated,House / apartment,-2822.0,-4608,1,1,0,0,0,1.0,0.1021055318630552,-1471.0,Self-employed,10,THURSDAY,0.0,Unaccompanied,42.5,3,1,0.0,35.0,1786.0,120j+,Long,Expérience Faible
190547,0,Cash loans,F,N,Y,0,90000.0,239850.0,22671.0,225000.0,Working,Secondary / secondary special,Widow,House / apartment,-1202.0,-4464,1,1,0,1,0,1.0,0.5363634932062926,-389.0,Business Entity Type 1,15,MONDAY,1.0,Unaccompanied,57.3,3,2,0.0,11.0,3262.0,120j+,Long,Expérience Faible
160746,0,Revolving loans,F,N,Y,0,112500.0,270000.0,13500.0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-2227.0,-3908,1,1,1,0,0,1.0,0.6731359803518391,-1417.0,Industry: type 1,11,FRIDAY,0.0,Unaccompanied,43.7,5,2,0.0,20.0,1681.0,120j+,Long,Expérience Moyenne
184900,0,Cash loans,F,N,Y,0,53550.0,785398.5,31275.0,702000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-951.0,-4655,1,0,0,1,0,2.0,0.5421117836026433,-1287.0,XNA,13,THURSDAY,2.0,Unaccompanied,64.2,0,1,0.0,25.0,3704.0,120j+,Long,Retraité
373067,0,Cash loans,F,N,Y,0,157500.0,239850.0,23494.5,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-3017.0,-4369,1,0,0,0,0,2.0,0.582980048129109,-1102.0,XNA,13,WEDNESDAY,2.0,Unaccompanied,67.8,0,0,0.0,10.0,1352.0,120j+,Long,Retraité
344965,1,Cash loans,M,Y,N,0,112500.0,1272888.0,37345.5,1111500.0,Working,Secondary / secondary special,Married,House / apartment,-1303.0,-4327,1,1,0,0,0,2.0,0.4058509049481616,0.0,Medicine,9,THURSDAY,2.0,Unaccompanied,40.7,4,1,0.0,34.0,3024.0,120j+,Long,Expérience Faible
293307,0,Revolving loans,F,N,Y,0,135000.0,900000.0,45000.0,900000.0,Pensioner,Higher education,Married,House / apartment,-2578.0,-4158,1,0,0,1,0,2.0,0.7248990946493228,-641.0,XNA,14,THURSDAY,0.0,Unaccompanied,61.1,0,1,0.0,20.0,1580.0,120j+,Long,Retraité
227414,0,Revolving loans,F,N,Y,1,63000.0,157500.0,7875.0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1951.0,-3136,1,1,0,0,0,3.0,0.3109158160305328,-391.0,Trade: type 6,14,MONDAY,0.0,Family,34.4,3,1,0.3333333333333333,20.0,1185.0,120j+,Long,Expérience Faible
221017,0,Cash loans,F,N,Y,2,112500.0,284400.0,16456.5,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-2457.0,-3541,1,1,0,0,0,4.0,0.5598494153662847,-1479.0,Kindergarten,12,TUESDAY,1.0,Other_B,32.7,3,1,0.5,17.0,1084.0,120j+,Long,Expérience Faible
222633,0,Cash loans,M,Y,Y,0,270000.0,628114.5,22558.5,477000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-636.0,-3168,1,1,0,0,0,2.0,0.6796359528367194,-1570.0,Other,13,MONDAY,6.0,Unaccompanied,54.0,7,1,0.0,28.0,2532.0,120j+,Long,Expérience Moyenne
395934,0,Cash loans,F,N,Y,1,112500.0,467257.5,22855.5,328500.0,Working,Secondary / secondary special,Married,House / apartment,-4388.0,-4388,1,1,0,1,0,3.0,0.6610593129941058,-863.0,Self-employed,7,WEDNESDAY,3.0,Unaccompanied,33.8,3,2,0.3333333333333333,20.0,0.0,<15j,Court,Expérience Faible
141430,0,Cash loans,F,Y,N,0,67500.0,500211.0,39649.5,463500.0,State servant,Higher education,Married,Office apartment,-1880.0,-3923,1,1,0,0,1,2.0,0.7550295819644979,-2236.0,Kindergarten,17,MONDAY,4.0,Family,31.8,9,2,0.0,13.0,2043.0,120j+,Long,Expérience Moyenne
111410,0,Cash loans,F,N,Y,2,135000.0,348264.0,22801.5,315000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-4415.0,-4419,1,1,1,0,0,3.0,0.0860463244389243,-471.0,Business Entity Type 3,9,WEDNESDAY,3.0,Children,43.2,2,2,0.6666666666666666,15.0,4.0,<15j,Court,Expérience Faible
200112,0,Cash loans,F,Y,Y,0,90000.0,781920.0,25101.0,675000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-4.0,-3878,1,0,0,0,0,1.0,0.5443852708974283,0.0,XNA,7,FRIDAY,0.0,Unaccompanied,58.3,0,0,0.0,31.0,3874.0,120j+,Long,Retraité
212109,0,Cash loans,F,N,N,0,67500.0,225000.0,7443.0,225000.0,Working,Lower secondary,Single / not married,Rented apartment,-1511.0,-3288,1,1,0,1,0,1.0,0.3202625890115016,-1.0,Other,12,MONDAY,0.0,Unaccompanied,31.7,3,2,0.0,30.0,1777.0,120j+,Long,Expérience Faible
142970,0,Cash loans,F,Y,Y,0,112500.0,1215000.0,35523.0,1215000.0,Working,Higher education,Married,House / apartment,-1150.0,-5042,1,1,1,1,0,2.0,0.7251475929485565,-2128.0,Kindergarten,17,FRIDAY,2.0,Unaccompanied,42.5,5,3,0.0,34.0,3892.0,120j+,Long,Expérience Moyenne
100298,0,Cash loans,F,N,Y,0,270000.0,473760.0,48676.5,450000.0,Working,Secondary / secondary special,Married,House / apartment,-3425.0,-5501,1,1,0,0,0,2.0,0.4923105677275208,-1485.0,Self-employed,10,THURSDAY,4.0,Unaccompanied,44.4,8,1,0.0,10.0,2076.0,120j+,Long,Expérience Moyenne
256217,0,Cash loans,M,Y,Y,1,216000.0,1338354.0,56835.0,1147500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-545.0,-3557,1,1,0,0,0,3.0,0.4056189113328478,-1834.0,Business Entity Type 3,14,TUESDAY,4.0,Unaccompanied,31.6,4,1,0.3333333333333333,24.0,3012.0,120j+,Long,Expérience Faible
326447,0,Cash loans,M,N,Y,0,450000.0,808650.0,29709.0,675000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-69.0,-3421,1,1,0,0,0,2.0,0.0033025596659409,-646.0,Security Ministries,3,TUESDAY,2.0,Unaccompanied,30.9,10,1,0.0,27.0,3352.0,120j+,Long,Expérience Moyenne
332544,0,Cash loans,F,N,N,0,360000.0,962370.0,74475.0,900000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1613.0,-1753,1,1,0,0,0,2.0,0.7289360744455129,-1394.0,Self-employed,12,FRIDAY,7.0,Unaccompanied,40.6,5,1,0.0,13.0,140.0,120j+,Long,Expérience Moyenne
450399,0,Cash loans,M,Y,Y,0,112500.0,135000.0,5220.0,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-3281.0,-4738,1,1,0,0,0,1.0,0.7080719276368385,-1774.0,Construction,15,WEDNESDAY,5.0,Unaccompanied,42.1,2,1,0.0,26.0,1457.0,120j+,Long,Expérience Faible
275577,0,Cash loans,F,N,Y,0,34042.5,675000.0,19476.0,675000.0,Pensioner,Higher education,Married,House / apartment,-1872.0,-1872,1,0,0,0,0,2.0,0.6268759634486005,-1368.0,XNA,9,MONDAY,1.0,Unaccompanied,59.7,0,0,0.0,35.0,0.0,<15j,Court,Retraité
425607,0,Cash loans,M,N,Y,0,270000.0,697500.0,37291.5,697500.0,Commercial associate,Higher education,Separated,House / apartment,-598.0,-4709,1,1,0,0,0,1.0,0.5776009229079965,-431.0,Business Entity Type 3,15,MONDAY,1.0,Unaccompanied,43.7,3,1,0.0,19.0,4111.0,120j+,Long,Expérience Faible
425722,0,Cash loans,F,N,Y,0,67500.0,640080.0,24259.5,450000.0,Working,Secondary / secondary special,Married,House / apartment,-4349.0,-4617,1,1,1,1,0,2.0,0.5289930711637819,-284.0,Kindergarten,14,WEDNESDAY,2.0,Family,38.6,8,3,0.0,26.0,268.0,120j+,Long,Expérience Moyenne
266028,0,Cash loans,F,N,Y,0,135000.0,1546020.0,42642.0,1350000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-1114.0,-4680,1,0,0,0,0,2.0,0.6563645286655272,-885.0,XNA,10,WEDNESDAY,3.0,Unaccompanied,62.7,0,0,0.0,36.0,3566.0,120j+,Long,Retraité
398868,0,Cash loans,M,N,Y,2,360000.0,479700.0,49153.5,450000.0,Commercial associate,Secondary / secondary special,Married,With parents,-1033.0,-2530,1,1,1,1,0,4.0,0.7282398687808129,-493.0,Business Entity Type 3,15,MONDAY,0.0,Unaccompanied,36.4,5,3,0.5,10.0,1497.0,120j+,Long,Expérience Moyenne
197868,0,Cash loans,M,Y,N,1,247500.0,699808.5,33795.0,625500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1093.0,-2165,1,1,0,0,0,3.0,0.5984692224884262,-1612.0,Business Entity Type 3,12,TUESDAY,3.0,Unaccompanied,26.8,6,1,0.3333333333333333,21.0,1072.0,120j+,Long,Expérience Moyenne
176746,0,Revolving loans,M,N,Y,0,171900.0,225000.0,11250.0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-110.0,-4061,1,1,1,0,0,1.0,0.1124851244022064,-190.0,Business Entity Type 3,15,THURSDAY,0.0,Unaccompanied,31.4,1,2,0.0,20.0,3951.0,120j+,Long,Expérience Faible
